head_name,accuracy,correct_count,total_count
wmdp_head_1,0.271585557299843,173,637
wmdp_head_2,0.282574568288854,180,637
wmdp_head_3,0.25745682888540034,164,637
wmdp_head_4,0.2904238618524333,185,637
wmdp_head_5,0.28885400313971743,184,637
wmdp_head_6,0.2857142857142857,182,637
wmdp_head_7,0.26373626373626374,168,637
wmdp_head_8,0.27629513343799056,176,637
wmdp_head_9,0.2543171114599686,162,637
wmdp_head_10,0.3092621664050236,197,637
wmdp_head_11,0.28885400313971743,184,637
wmdp_head_12,0.27001569858712715,172,637
wmdp_head_13,0.21978021978021978,140,637
wmdp_head_14,0.24960753532182103,159,637
wmdp_head_15,0.24489795918367346,156,637
wmdp_head_16,0.24960753532182103,159,637
wmdp_head_17,0.25588697017268447,163,637
wmdp_head_18,0.22762951334379905,145,637
wmdp_head_19,0.23861852433281006,152,637
wmdp_head_20,0.23076923076923078,147,637
wmdp_head_21,0.2370486656200942,151,637
wmdp_head_22,0.25902668759811615,165,637
wmdp_head_23,0.2370486656200942,151,637
wmdp_head_24,0.22919937205651492,146,637
wmdp_head_25,0.25588697017268447,163,637
wmdp_head_26,0.22919937205651492,146,637
wmdp_head_27,0.22919937205651492,146,637
wmdp_head_28,0.22919937205651492,146,637
wmdp_head_29,0.22919937205651492,146,637
wmdp_head_30,0.22919937205651492,146,637
wmdp_head_31,0.22762951334379905,145,637
wmdp_head_32,0.22919937205651492,146,637
